counterparty 1 (reporting counterparty),counterparty 2,report submitting entity,uti,trade or allege,direction,direction of leg 1,direction of leg 2,report tracking number,isin,unique product identifier (upi),product classification,contract type,asset class,underlying identification type,underlying identification,confirmation timestamp,confirmed,clearing obligation,cleared,clearing timestamp,central counterparty,master agreement type,master agreement version,intragroup,ptrr,type of ptrr technique,ptrr service provider,venue of execution,execution timestamp,effective date,expiration date,early termination date,final contractual settlement date,delivery type,price,price currency,notional amount of leg 1,notional currency 1,effective date of the notional amount of leg 1,end date of the notional amount of leg 1,notional amount in effect on associated effective date of leg 1,total notional quantity of leg 1,effective date of the notional quantity of leg 1,end date of the notional quantity of leg 1,notional quantity in effect on associated effective date of leg 1,notional amount of leg 2,notional currency 2,effective date of the notional amount of leg 2,end date of the notional amount of leg 2,notional amount in effect on associated effective date of leg 2,total notional quantity of leg 2,effective date of the notional quantity of leg 2,end date of the notional quantity of leg 2,notional quantity in effect on associated effective date of leg 2,fixed rate of leg 1 or coupon,fixed rate or coupon day count convention leg 1,fixed rate or coupon payment frequency period leg 1,fixed rate or coupon payment frequency period multiplier leg 1,identifier of the floating rate of leg 1,indicator of the floating rate of leg 1,floating rate day count convention of leg 1,floating rate payment frequency period of leg 1,floating rate payment frequency period multiplier of leg 1,floating rate reference period of leg 1 – time period,floating rate reference period of leg 1 – multiplier,floating rate reset frequency period of leg 1,floating rate reset frequency multiplier of leg 1,fixed rate of leg 2,fixed rate day count convention leg 2,fixed rate payment frequency period leg 2,fixed rate payment frequency period multiplier leg 2,identifier of the floating rate of leg 2,indicator of the floating rate of leg 2,floating rate day count convention of leg 2,floating rate payment frequency period of leg 2,floating rate payment frequency period multiplier of leg 2,floating rate reference period of leg 2 – time period,floating rate reference period of leg 2 – multiplier,floating rate reset frequency period of leg 2,floating rate reset frequency multiplier of leg 2,option type,option style,maturity date of the underlying,seniority,reference entity,index factor,tranche,level
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,549300ROEJDDAXM6LU05BBG0000000000B6625FD9BB23C0035,Trade,,MAKE_Trade,TAKE_Trade,,,QZKC6FFQL6Q3,JFTXFP,FORW,CURR,,,2024-04-23T07:18:01Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,BMTF,2024-04-23T07:07:52Z,2024-04-23,2026-01-26,,2026-01-26,PHYS,,,1000000.0,EUR,,,,,,,,1100332.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,549300ROEJDDAXM6LU05BBG0000000000B6625FD9BB23C0035,Allege,,MAKE,,,,QZKC6FFQL6Q3,JFTXFP,FORW,CURR,,,2024-04-23T07:18:01Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,BMTF,2024-04-23T07:07:52Z,2024-04-23,2026-01-26,,2026-01-26,PHYS,,,1000000.0,EUR,,,,,,,,1100332.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,549300ROEJDDAXM6LU05BBG0000000000B6582BADAE0500073,Trade,,MAKE_Trade,TAKE_Trade,,,QZKC6FFQL6Q3,JFTXFP,FORW,CURR,,,2023-12-21T09:27:04Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,BMTF,2023-12-21T08:59:21Z,2023-12-21,2024-11-27,,2024-11-27,PHYS,,,9000000.0,EUR,,,,,,,,9990531.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,549300ROEJDDAXM6LU05BBG0000000000B6582BADAE0500073,Allege,,MAKE,,,,QZKC6FFQL6Q3,JFTXFP,FORW,CURR,,,2023-12-21T09:27:04Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,BMTF,2023-12-21T08:59:21Z,2023-12-21,2024-11-27,,2024-11-27,PHYS,,,9000000.0,EUR,,,,,,,,9990531.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,549300ROEJDDAXM6LU05BBG0000000000B65E887A2E0300043,Trade,,MAKE_Trade,TAKE_Trade,,,QZKC6FFQL6Q3,JFTXFP,FORW,CURR,,,2024-03-08T07:08:53Z,ECNF,UKWN,,,,ISDA,1992.0,False,,,,BMTF,2024-03-07T17:49:51Z,2024-03-07,2024-06-11,,2024-06-11,PHYS,,,2000000.0,EUR,,,,,,,,2194558.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,549300ROEJDDAXM6LU05BBG0000000000B65E887A2E0300043,Allege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,549300ROEJDDAXM6LU05BBG0000000000B6633AE25B23C005B,Trade,,,,,EZZ40VVKT873,,JFTXFP,FORW,,,,,NCNF,,,,,,1992.0,,,,,BMTF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,549300ROEJDDAXM6LU05BBG0000000000B6633AE25B23C005B,Allege,,,,,,QZMRR5NWJDGW,SFAXXP,SWAP,,,,,YCNF,,,,,,2002.0,,,,,XXXX,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,635400MQZIPRVPDDZK76624955442L1A0,Trade,,MAKE_Trade,TAKE_Trade,624955442,EZSG8JYNZH73,,JFTXFP,FORW,CURR,,,2024-05-03T10:49:48Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,FXRQ,2024-05-03T10:40:42Z,2024-05-03,2026-05-07,,2026-05-07,PHYS,,,6000000.0,EUR,,,,,,,,6675534.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,635400MQZIPRVPDDZK76624955442L1A0,Allege,,MAKE,,624955442,,,JFTXFP,FORW,CURR,,,2024-05-03T10:49:48Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,FXRQ,2024-05-03T10:40:42Z,2024-05-03,2026-05-07,,2026-05-07,PHYS,,,6000000.0,EUR,,,,,,,,6675534.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
