counterparty 1 (reporting counterparty),counterparty 2,report submitting entity,uti,trade or allege,direction,direction of leg 1,direction of leg 2,report tracking number,isin,unique product identifier (upi),product classification,contract type,asset class,underlying identification type,underlying identification,confirmation timestamp,confirmed,clearing obligation,cleared,clearing timestamp,central counterparty,master agreement type,master agreement version,intragroup,ptrr,type of ptrr technique,ptrr service provider,venue of execution,execution timestamp,effective date,expiration date,early termination date,final contractual settlement date,delivery type,price,price currency,notional amount of leg 1,notional currency 1,effective date of the notional amount of leg 1,end date of the notional amount of leg 1,notional amount in effect on associated effective date of leg 1,total notional quantity of leg 1,effective date of the notional quantity of leg 1,end date of the notional quantity of leg 1,notional quantity in effect on associated effective date of leg 1,notional amount of leg 2,notional currency 2,effective date of the notional amount of leg 2,end date of the notional amount of leg 2,notional amount in effect on associated effective date of leg 2,total notional quantity of leg 2,effective date of the notional quantity of leg 2,end date of the notional quantity of leg 2,notional quantity in effect on associated effective date of leg 2,fixed rate of leg 1 or coupon,fixed rate or coupon day count convention leg 1,fixed rate or coupon payment frequency period leg 1,fixed rate or coupon payment frequency period multiplier leg 1,identifier of the floating rate of leg 1,indicator of the floating rate of leg 1,floating rate day count convention of leg 1,floating rate payment frequency period of leg 1,floating rate payment frequency period multiplier of leg 1,floating rate reference period of leg 1 – time period,floating rate reference period of leg 1 – multiplier,floating rate reset frequency period of leg 1,floating rate reset frequency multiplier of leg 1,fixed rate of leg 2,fixed rate day count convention leg 2,fixed rate payment frequency period leg 2,fixed rate payment frequency period multiplier leg 2,identifier of the floating rate of leg 2,indicator of the floating rate of leg 2,floating rate day count convention of leg 2,floating rate payment frequency period of leg 2,floating rate payment frequency period multiplier of leg 2,floating rate reference period of leg 2 – time period,floating rate reference period of leg 2 – multiplier,floating rate reset frequency period of leg 2,floating rate reset frequency multiplier of leg 2,option type,option style,maturity date of the underlying,seniority,reference entity,index factor,tranche,level
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000003970693C,Allege,,MAKE,,,,,SRCCSP,SWAP,INTR,,,,,UKWN,Y,2023-04-24T14:29:14Z,529900LN3S50JPU47S06,OTHR,,False,False,,,NWNV,2023-04-24T13:56:15Z,2023-04-26,2029-04-26,,2029-04-26,PHYS,,,350000000.0,EUR,,,,,,,,350000000.0,EUR,,,,,,,,3.21375,A001,YEAR,1.0,,,,,,,,,,,,,,EU0009652791,EURI,A004,MNTH,6.0,,,MNTH,6.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004656689C,Trade,,TAKE_Trade,MAKE_Trade,,EZGB8H57CF95,,JRIXFP,FRAS,INTR,EU0009652783,EU0009652783,,,UKWN,,2024-02-13T07:04:05Z,529900LN3S50JPU47S06,OTHR,,False,,,,REST,2024-02-13T05:57:01Z,2024-06-18,2024-06-18,,2024-06-18,PHYS,,,148000000.0,EUR,,,,,,,,148000000.0,EUR,,,,,,,,,,,,,,,,,,,,,3.5029,A004,EXPI,1.0,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004656689C,Allege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004777509C,Trade,,TAKE_Trade,MAKE_Trade,RTNNotReceived,EZ551BFPXNK8,,SRCCSP,SWAP,INTR,,,,,UKWN,Y,2024-03-19T14:42:44Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2024-03-19T14:42:32Z,2024-03-21,2026-03-21,,2026-03-21,PHYS,,,30000000.0,EUR,,,,,,,,30000000.0,EUR,,,,,,,,3.1313,A001,YEAR,1.0,,,,,,,,,,,,,,EU0009652783,EURI,A004,MNTH,3.0,MNTH,3.0,MNTH,3.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004777509C,Allege,,TAKE,,RTNNotReceived,,,SRCCSP,SWAP,INTR,,,,,UKWN,Y,2024-03-19T14:42:44Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2024-03-19T14:42:32Z,2024-03-21,2026-03-21,,2026-03-21,PHYS,,,30000000.0,EUR,,,,,,,,30000000.0,EUR,,,,,,,,3.1313,A001,YEAR,1.0,,,,,,,,,,,,,,EU0009652783,EURI,A004,MNTH,3.0,,,MNTH,3.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004846674C,Trade,,TAKE_Trade,MAKE_Trade,,EZNSS7MTR714,,JRIXFP,FRAS,INTR,EU0009652783,EU0009652783,,,UKWN,Y,2024-04-23T06:05:07Z,529900LN3S50JPU47S06,OTHR,,False,False,,,REST,2024-04-23T03:53:11Z,2024-06-27,2024-06-27,,2024-06-27,PHYS,,,29000000.0,EUR,,,,,,,,29000000.0,EUR,,,,,,,,,,,,,,,,,,,,,3.6792,A004,EXPI,1.0,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004846674C,Allege,,TAKE,,,,,JRIXFP,FRAS,INTR,X,EU0009652783,,,UKWN,Y,2024-04-23T06:05:07Z,529900LN3S50JPU47S06,OTHR,,False,False,,,REST,2024-04-23T03:53:11Z,2024-06-27,2024-06-27,,2024-06-27,PHYS,,,29000000.0,EUR,,,,,,,,29000000.0,EUR,,,,,,,,,,,,,,,,,,,,,3.6792,A004,EXPI,1.0,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,1050000007O00000000000003293965C,Trade,,TAKE_Trade,MAKE_Trade,RTNNotReceived,EZV68BN0S303,,SRCCSP,SWAP,INTR,,,,,UKWN,Y,2022-10-24T08:30:36Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2022-10-24T08:30:29Z,2022-10-28,2025-02-28,,2025-02-28,PHYS,,,18000000.0,EUR,,,,,,,,18000000.0,EUR,,,,,,,,3.0236,A001,YEAR,1.0,,,,,,,,,,,,,,,EURI,A004,MNTH,6.0,MNTH,6.0,MNTH,6.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,1050000007O00000000000003293965C,Allege,,TAKE,,RTNNotReceived,,,SRCCSP,SWAP,INTR,,,,,UKWN,Y,2022-10-24T08:30:36Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2022-10-24T08:30:29Z,2022-10-28,2025-02-28,,2025-02-28,PHYS,,,18000000.0,EUR,,,,,,,,18000000.0,EUR,,,,,,,,3.0236,A001,YEAR,1.0,,,,,,,,,,,,,,,EURI,A004,MNTH,6.0,,,MNTH,6.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004578668C,Trade,,TAKE_Trade,MAKE_Trade,RTNNotReceived,EZLP88XN6HN1,,SRHCSP,SWAP,INTR,,,,,UKWN,Y,2024-01-10T15:24:10Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2024-01-10T15:24:06Z,2024-01-12,2025-01-13,,2025-01-13,PHYS,,,300000.0,EUR,,,,,,,,300000.0,EUR,,,,,,,,3.3435,A004,EXPI,1.0,,,,,,,,,,,,,,,,A004,EXPI,1.0,EXPI,1.0,EXPI,1.0,,,,,,,,TCTN
