counterparty 1 (reporting counterparty),counterparty 2,report submitting entity,uti,trade or allege,direction,direction of leg 1,direction of leg 2,report tracking number,isin,unique product identifier (upi),product classification,contract type,asset class,underlying identification type,underlying identification,confirmation timestamp,confirmed,clearing obligation,cleared,clearing timestamp,central counterparty,master agreement type,master agreement version,intragroup,ptrr,type of ptrr technique,ptrr service provider,venue of execution,execution timestamp,effective date,expiration date,early termination date,final contractual settlement date,delivery type,price,price currency,notional amount of leg 1,notional currency 1,effective date of the notional amount of leg 1,end date of the notional amount of leg 1,notional amount in effect on associated effective date of leg 1,total notional quantity of leg 1,effective date of the notional quantity of leg 1,end date of the notional quantity of leg 1,notional quantity in effect on associated effective date of leg 1,notional amount of leg 2,notional currency 2,effective date of the notional amount of leg 2,end date of the notional amount of leg 2,notional amount in effect on associated effective date of leg 2,total notional quantity of leg 2,effective date of the notional quantity of leg 2,end date of the notional quantity of leg 2,notional quantity in effect on associated effective date of leg 2,fixed rate of leg 1 or coupon,fixed rate or coupon day count convention leg 1,fixed rate or coupon payment frequency period leg 1,fixed rate or coupon payment frequency period multiplier leg 1,identifier of the floating rate of leg 1,indicator of the floating rate of leg 1,floating rate day count convention of leg 1,floating rate payment frequency period of leg 1,floating rate payment frequency period multiplier of leg 1,floating rate reference period of leg 1 – time period,floating rate reference period of leg 1 – multiplier,floating rate reset frequency period of leg 1,floating rate reset frequency multiplier of leg 1,fixed rate of leg 2,fixed rate day count convention leg 2,fixed rate payment frequency period leg 2,fixed rate payment frequency period multiplier leg 2,identifier of the floating rate of leg 2,indicator of the floating rate of leg 2,floating rate day count convention of leg 2,floating rate payment frequency period of leg 2,floating rate payment frequency period multiplier of leg 2,floating rate reference period of leg 2 – time period,floating rate reference period of leg 2 – multiplier,floating rate reset frequency period of leg 2,floating rate reset frequency multiplier of leg 2,option type,option style,maturity date of the underlying,seniority,reference entity,index factor,tranche,level
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823249LN043493DTS3,Allege,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,16666000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823249LN043493DTS3,Trade,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823348LN022525DTS3,Allege,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,2133810.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823348LN022525DTS3,Trade,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823186LN057845DTS1,Allege,,MAKE,TAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-07-05T16:15:46Z,2023-07-05,2025-03-31,,2025-04-03,CASH,,,1100000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823186LN057845DTS1,Trade,,MAKE,TAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-07-05T16:15:46Z,2023-07-05,2025-03-31,,2025-04-03,CASH,,,1100000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,549300OELEN3ZS5RB682,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX120L240311A0237BISINUAT,Trade,,MAKE,TAKE,RTNNotProvided,EZ54YRNBK1V6,,JFTXFP,FORW,CURR,,,,,,N,,,DERV,2001.0,True,0.0,,,XEUR,2024-03-11T09:26:08Z,2024-03-11,2027-03-15,,2027-03-15,PHYS,,,7770000.0,EUR,,,,,,,,10000000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,549300OELEN3ZS5RB682,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX120L240311A0237BISINUAT,Allege,,MAKE,TAKE,RTNNotProvided,EZ54YRNBK1V6,,JFTXFP,FORW,CURR,,,,NCNF,UKWN,N,,,DERV,2001.0,False,0.0,,,XXXX,2024-03-11T09:26:08Z,2024-03-11,2027-03-15,,2027-03-15,PHYS,,,7770000.0,EUR,,,,,,,,10000000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823338LN063057DTS3,Trade,,TAKE,MAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-12-04T16:28:05Z,2023-12-04,2024-11-29,,2024-12-04,CASH,,,1887170.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823338LN063057DTS3,Allege,,TAKE,MAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-12-04T16:28:05Z,2023-12-04,2024-11-29,,2024-12-04,CASH,,,1887170.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823338LN063055DTS1,Trade,,TAKE,MAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-12-04T16:28:05Z,2023-12-04,2024-09-30,,2024-10-03,CASH,,,1887170.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823338LN063055DTS1,Allege,,TAKE,MAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-12-04T16:28:05Z,2023-12-04,2024-09-30,,2024-10-03,CASH,,,1887170.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823186LN057853DTS3,Trade,,MAKE,TAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-07-05T16:15:46Z,2023-07-05,2025-11-28,,2025-12-03,CASH,,,1100000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823186LN057853DTS3,Allege,,MAKE,TAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-07-05T16:15:46Z,2023-07-05,2025-11-28,,2025-12-03,CASH,,,1100000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823348LN022525DTS1,Trade,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,2133810.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3CZP3CK64YBHON1LE12,WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823348LN022525DTS1,Allege,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3CZP3CK64YBHON1LE12,WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823354LN051348DTS3,Trade,,TAKE,MAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-12-20T10:37:00Z,2023-12-20,2024-08-30,,2024-09-05,CASH,,,8660000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823354LN051348DTS3,Allege,,TAKE,MAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-12-20T10:37:00Z,2023-12-20,2024-08-30,,2024-09-05,CASH,,,8660000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823186LN057843DTS3,Trade,,MAKE,TAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-07-05T16:15:46Z,2023-07-05,2025-01-31,,2025-02-05,CASH,,,1100000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
